id,fraud,date,amount,use_chip,merchant_city,merchant_state,mcc,errors,card_brand,card_type,has_chip,credit_limit,num_cards_issued,credit_score,total_debt,num_credit_cards,yearly_income
22040225,0,2018-11-01 10:56:00,$1.44,Chip Transaction,Frankfort,IN,5411,No Error,Mastercard,Credit,YES,9000,2,850,1828,6,24884
21037999,0,2018-04-03 03:08:00,$75.53,Chip Transaction,Waianae,HI,3730,No Error,Mastercard,Debit,YES,24819,1,735,0,6,37556
9294772,0,2011-03-19 14:05:00,$4.82,Swipe Transaction,Port Orange,FL,5411,No Error,Mastercard,Credit,YES,10700,2,770,42011,3,44681
17076421,0,2015-12-11 16:09:00,$105.58,Swipe Transaction,El Paso,TX,5411,No Error,Visa,Debit,NO,2508,1,681,101323,4,50177
18439932,0,2016-09-28 16:46:00,$-490.00,Swipe Transaction,Ventura,CA,3722,No Error,Visa,Credit,NO,12400,1,787,127613,5,59696
10197821,0,2011-10-14 23:39:00,$1.40,Swipe Transaction,Pasadena,MD,5499,No Error,Visa,Debit,YES,3058,2,692,71422,3,61173
16979706,0,2015-11-21 07:24:00,$2.21,Chip Transaction,Beaverton,OR,5541,No Error,Visa,Debit (Prepaid),YES,4,2,706,103229,5,44249
21620562,0,2018-08-04 10:31:00,$2.08,Swipe Transaction,Beverly Hills,CA,5812,No Error,Mastercard,Debit,NO,30096,1,717,27179,3,38039
14983763,0,2014-09-17 01:54:00,$32.83,Online Transaction,ONLINE,Unknown,7349,No Error,Mastercard,Credit,YES,9800,1,769,21869,6,26511
20116063,0,2017-09-19 12:08:00,$120.00,Chip Transaction,Hamilton,OH,4829,No Error,Visa,Credit,YES,12400,2,654,46298,4,37645
16749539,0,2015-10-02 17:43:00,$79.23,Chip Transaction,College Park,MD,5812,No Error,Visa,Credit,YES,14800,1,751,20683,4,53464
13654607,1,2013-11-30 10:08:00,$77.59,Swipe Transaction,Strasburg,OH,5812,No Error,Mastercard,Debit,YES,21205,2,813,79960,7,48944
19631776,0,2017-06-09 07:33:00,$3.74,Chip Transaction,Las Vegas,NV,5499,Insufficient Balance,Visa,Debit (Prepaid),YES,72,1,770,18870,4,39508
21905863,0,2018-10-03 19:24:00,$153.95,Chip Transaction,Hartsdale,NY,5300,No Error,Visa,Debit,YES,8468,1,608,64144,4,40957
9283105,0,2011-03-16 17:26:00,$20.85,Online Transaction,ONLINE,Unknown,4121,No Error,Mastercard,Debit,NO,19913,1,584,64715,1,41483
18698886,0,2016-11-23 04:24:00,$17.74,Chip Transaction,Aurora,CO,5541,No Error,Visa,Credit,YES,11300,1,718,9066,4,45754
21414003,0,2018-06-21 17:19:00,$87.83,Chip Transaction,New York,NY,5311,No Error,Mastercard,Credit,YES,11200,1,595,54354,3,35940
15532958,0,2015-01-14 09:18:00,$14.55,Chip Transaction,Philadelphia,PA,5411,No Error,Mastercard,Debit,YES,16640,1,711,60231,3,43828
17559526,1,2016-03-24 17:09:00,$43.17,Online Transaction,ONLINE,Unknown,5300,No Error,Mastercard,Debit,YES,30753,1,831,39076,3,103294
22855133,0,2019-04-22 17:32:00,$93.99,Chip Transaction,Grantville,PA,5912,No Error,Visa,Credit,YES,10600,2,696,53407,1,44303
10420984,0,2011-12-05 12:20:00,$2.24,Swipe Transaction,Lake Havasu City,AZ,5499,No Error,Visa,Debit,YES,17013,2,755,36482,3,28983
17296330,0,2016-01-27 11:41:00,$2.95,Swipe Transaction,Ingleside,TX,5411,No Error,Mastercard,Debit,NO,19554,1,745,54351,2,32126
17621949,0,2016-04-07 07:40:00,$62.00,Chip Transaction,Dallas,TX,5541,No Error,Mastercard,Debit (Prepaid),YES,54,1,706,44404,4,25883
10908480,0,2012-03-26 15:15:00,$80.00,Swipe Transaction,Knoxville,TN,4829,No Error,Mastercard,Debit,YES,10707,2,715,32300,2,29371
12478218,0,2013-03-15 23:46:00,$440.00,Swipe Transaction,Marysville,OH,3780,No Error,Visa,Debit,YES,27646,1,720,92603,4,35590
13099870,0,2013-07-31 08:02:00,$2.43,Swipe Transaction,San Jose,CA,5411,No Error,Visa,Debit,YES,22833,1,728,81158,9,61850
21590288,0,2018-07-28 21:07:00,$49.30,Online Transaction,ONLINE,Unknown,4784,No Error,Mastercard,Debit,YES,20042,2,651,84935,3,34302
9269745,0,2011-03-13 16:24:00,$95.00,Swipe Transaction,Enfield,CT,5541,No Error,Mastercard,Credit,YES,16600,1,692,71422,3,61173
10322610,0,2011-11-12 16:45:00,$33.40,Swipe Transaction,Garden Grove,CA,5814,No Error,Visa,Debit,YES,14295,1,811,28613,4,38081
12742861,0,2013-05-13 14:40:00,$18.22,Swipe Transaction,Vienna,VA,5411,No Error,Mastercard,Debit,YES,19670,2,764,236393,4,123540
17535372,0,2016-03-19 15:56:00,$49.51,Chip Transaction,Bremo Bluff,VA,7538,No Error,Mastercard,Debit,YES,11889,2,753,22488,2,24545
21904659,0,2018-10-03 14:09:00,$61.58,Chip Transaction,Henderson,NV,5541,No Error,Visa,Debit,YES,23781,1,737,117325,5,59093
21179829,0,2018-05-03 06:10:00,$80.00,Chip Transaction,Danbury,CT,4829,No Error,Amex,Credit,YES,6600,2,622,69717,3,54384
21794802,0,2018-09-10 07:56:00,$89.36,Chip Transaction,Moorpark,CA,5912,No Error,Amex,Credit,YES,11100,2,701,16437,4,36724
17412122,0,2016-02-21 09:17:00,$64.00,Chip Transaction,Nashport,OH,5499,No Error,Visa,Credit,YES,11100,2,693,44263,3,43133
13531187,0,2013-11-03 06:40:00,$24.22,Online Transaction,ONLINE,Unknown,4784,No Error,Mastercard,Credit,YES,5600,1,714,2573,5,23993
21981954,0,2018-10-19 23:42:00,$81.66,Chip Transaction,New York,NY,5970,No Error,Mastercard,Debit,YES,15813,2,709,96864,5,63684
22161181,0,2018-11-27 00:25:00,$168.52,Chip Transaction,Menifee,CA,4814,No Error,Mastercard,Debit,YES,14269,1,785,3230,3,32847
7569342,0,2010-01-25 07:44:00,$1.27,Swipe Transaction,Hardinsburg,KY,5499,No Error,Visa,Credit,YES,6900,1,705,16946,6,22540
17468660,0,2016-03-05 11:02:00,$23.75,Chip Transaction,Bristol,TN,5310,No Error,Mastercard,Debit,YES,6103,2,759,67244,5,36285
12561395,0,2013-04-03 13:29:00,$80.92,Swipe Transaction,Parkers Prairie,MN,5300,No Error,Amex,Credit,YES,8200,1,713,51924,4,31244
14249557,0,2014-04-09 14:28:00,$-64.00,Swipe Transaction,Edgerton,WI,5541,No Error,Mastercard,Debit,YES,11160,2,797,126175,6,43529
21018634,0,2018-03-29 20:28:00,$40.00,Chip Transaction,Bloomfield,CT,4829,No Error,Mastercard,Debit,YES,15110,2,680,23909,5,34606
13502447,0,2013-10-27 15:21:00,$36.84,Swipe Transaction,Lorain,OH,5251,No Error,Amex,Credit,YES,7700,1,552,64661,3,30340
10667115,0,2012-01-30 15:40:00,$125.17,Swipe Transaction,Louisville,CO,5912,No Error,Mastercard,Credit,YES,10800,2,708,25355,3,61312
8308841,0,2010-07-27 10:53:00,$65.00,Swipe Transaction,Mobile,AL,5499,No Error,Mastercard,Debit,YES,24232,1,765,114563,3,43496
15396199,0,2014-12-15 19:17:00,$53.34,Online Transaction,ONLINE,Unknown,4784,No Error,Mastercard,Debit,YES,9165,2,772,52248,5,36843
19793150,0,2017-07-13 06:36:00,$3.91,Chip Transaction,Morristown,TN,5411,No Error,Mastercard,Debit,YES,17667,1,745,51984,3,34868
17068102,0,2015-12-09 18:07:00,$36.75,Chip Transaction,Boca Raton,FL,5719,No Error,Mastercard,Debit,YES,18776,2,598,58679,1,29422
14618748,0,2014-06-29 12:55:00,$50.00,Swipe Transaction,Mesilla Park,NM,5499,No Error,Visa,Credit,YES,8700,2,719,42233,4,31414
11741308,0,2012-10-01 07:31:00,$2.83,Swipe Transaction,Herminie,PA,5411,No Error,Mastercard,Debit (Prepaid),YES,87,2,653,39959,2,30172
11736145,0,2012-09-29 18:58:00,$151.11,Swipe Transaction,Albany,NY,5310,No Error,Visa,Credit,YES,11400,2,735,162462,3,55059
18430729,0,2016-09-26 19:25:00,$80.91,Swipe Transaction,Franklinville,NJ,5541,No Error,Mastercard,Debit,NO,25206,1,690,83932,3,49788
20879580,0,2018-02-28 10:56:00,$38.07,Chip Transaction,Zebulon,NC,5411,No Error,Mastercard,Debit,YES,27489,1,714,17453,6,22850
8520613,1,2010-09-16 09:42:00,$39.49,Online Transaction,ONLINE,Unknown,5942,No Error,Mastercard,Debit (Prepaid),NO,46,2,489,114251,3,67170
21558474,0,2018-07-22 08:13:00,$13.66,Chip Transaction,Richmond,VA,5411,No Error,Mastercard,Debit (Prepaid),YES,34,2,719,2689,4,92368
11004520,1,2012-04-17 13:14:00,$102.34,Online Transaction,ONLINE,Unknown,7801,No Error,Mastercard,Credit,NO,9000,2,711,5846,5,31175
20893401,0,2018-03-03 09:20:00,$3.82,Chip Transaction,Florence,SC,5942,No Error,Visa,Debit,YES,4653,2,707,42369,7,44383
11678120,0,2012-09-16 17:35:00,$67.51,Swipe Transaction,Cedar Rapids,IA,5300,No Error,Amex,Credit,YES,9500,2,718,76392,3,40478
22691659,0,2019-03-19 09:22:00,$3.11,Chip Transaction,Fort Myers,FL,5812,No Error,Mastercard,Debit,YES,3711,2,621,72794,1,40006
22849232,0,2019-04-21 14:13:00,$-93.00,Chip Transaction,Campbell,TX,5541,No Error,Mastercard,Credit,YES,8700,2,740,27463,3,38609
21182026,0,2018-05-03 12:37:00,$27.68,Online Transaction,ONLINE,Unknown,5311,No Error,Mastercard,Debit,YES,76966,2,685,28869,2,126775
19255240,0,2017-03-21 13:34:00,$140.00,Chip Transaction,Boulder Creek,CA,4829,No Error,Visa,Credit,YES,4400,1,765,121987,4,54537
21758590,0,2018-09-02 12:26:00,$60.00,Chip Transaction,Amelia,OH,4829,No Error,Visa,Credit,YES,8700,1,690,43747,3,39336
20156931,0,2017-09-28 06:51:00,$6.81,Swipe Transaction,New Brunswick,NJ,5411,No Error,Mastercard,Debit,NO,18050,2,704,6955,2,104692
15875427,0,2015-03-29 11:42:00,$17.86,Chip Transaction,Pryor,OK,5812,No Error,Mastercard,Debit,YES,29340,2,710,92949,4,36388
9946248,0,2011-08-18 06:48:00,$41.30,Swipe Transaction,Parsippany,NJ,5311,No Error,Visa,Credit,YES,18100,2,745,16595,5,70862
18101773,0,2016-07-18 14:24:00,$49.40,Swipe Transaction,Newburgh,IN,5499,No Error,Amex,Credit,NO,13400,2,527,119230,3,57348
12553046,0,2013-04-01 13:03:00,$61.00,Swipe Transaction,Caldwell,OH,5499,No Error,Amex,Credit,YES,12200,2,769,28260,2,32522
15590055,0,2015-01-26 15:03:00,$73.26,Chip Transaction,Youngstown,OH,5912,No Error,Mastercard,Debit,YES,11994,2,790,427,8,11613
9801293,0,2011-07-15 12:58:00,$37.79,Swipe Transaction,Waldorf,MD,5813,No Error,Visa,Debit,NO,30160,1,821,132181,3,71593
18594337,0,2016-10-31 17:32:00,$-51.00,Swipe Transaction,Eight Mile,AL,5499,No Error,Mastercard,Debit,NO,15087,1,713,60527,4,31008
15731604,0,2015-02-26 11:39:00,$20.73,Chip Transaction,Rocky Point,NY,5411,No Error,Mastercard,Debit (Prepaid),YES,66,1,680,37838,4,58503
23289203,0,2019-07-23 16:45:00,$40.00,Swipe Transaction,Mobile,AL,4829,No Error,Mastercard,Debit,NO,15087,1,713,60527,4,31008
19556605,0,2017-05-24 10:21:00,$26.39,Chip Transaction,Mokelumne Hill,CA,4121,No Error,Mastercard,Debit,YES,15900,1,703,0,3,37147
14717757,0,2014-07-21 07:46:00,$6.81,Swipe Transaction,Mesilla Park,NM,5912,No Error,Visa,Debit,YES,17146,2,705,23394,4,30217
18250871,0,2016-08-19 11:13:00,$14.30,Chip Transaction,Anaheim,CA,7542,No Error,Visa,Debit,YES,13356,1,739,3378,4,37371
9930523,0,2011-08-14 13:50:00,$14.57,Swipe Transaction,Lucama,NC,5813,No Error,Mastercard,Debit,YES,11664,1,682,24515,3,32491
22145705,0,2018-11-23 16:18:00,$76.76,Chip Transaction,Rosharon,TX,5411,No Error,Mastercard,Debit,YES,12224,2,612,57177,1,46603
15223768,0,2014-11-08 13:03:00,$-86.00,Swipe Transaction,Grove,OK,5499,No Error,Mastercard,Credit,YES,8100,2,759,69401,3,25524
8558050,0,2010-09-25 11:17:00,$4.04,Swipe Transaction,Sanford,FL,5651,No Error,Visa,Credit,YES,4200,2,689,5244,3,26574
11031413,0,2012-04-23 16:02:00,$1.54,Swipe Transaction,Lebanon,MO,5499,No Error,Mastercard,Debit (Prepaid),YES,47,1,508,42750,1,28472
16851870,0,2015-10-24 15:25:00,$-78.00,Chip Transaction,Garner,NC,5541,No Error,Mastercard,Debit,YES,13123,1,650,106753,3,46256
12264162,0,2013-01-27 08:19:00,$89.50,Swipe Transaction,Fresno,CA,5411,No Error,Visa,Credit,YES,6800,2,628,10400,2,28357
9537262,0,2011-05-15 09:33:00,$1.04,Swipe Transaction,Statesville,NC,5499,No Error,Mastercard,Debit,YES,22137,2,695,57746,3,37617
22962437,0,2019-05-15 17:20:00,$37.70,Swipe Transaction,Cancun,Mexico,5814,No Error,Discover,Credit,NO,10000,2,668,31354,5,57824
21759738,0,2018-09-02 15:59:00,$75.86,Online Transaction,ONLINE,Unknown,7922,Insufficient Balance,Visa,Credit,YES,14400,1,706,99840,3,37534
22327405,0,2019-01-01 08:15:00,$39.60,Chip Transaction,Chillicothe,OH,7538,No Error,Visa,Debit,YES,1736,1,717,85531,5,44583
22382436,1,2019-01-12 18:12:00,$23.53,Chip Transaction,Rome,Italy,5651,No Error,Mastercard,Debit,YES,7272,2,639,125358,3,61904
12664849,0,2013-04-26 11:24:00,$4.08,Swipe Transaction,Goldsboro,NC,5311,No Error,Mastercard,Debit,YES,13123,1,650,106753,3,46256
16312536,0,2015-07-01 08:29:00,$3.03,Chip Transaction,Madison,WI,5812,No Error,Visa,Debit,YES,19856,1,719,114254,2,48279
20034861,0,2017-09-02 08:24:00,$3.74,Chip Transaction,Moorpark,CA,5812,No Error,Mastercard,Credit,YES,9500,1,701,16437,4,36724
7567939,1,2010-01-24 17:17:00,$3.56,Online Transaction,ONLINE,Unknown,5311,No Error,Visa,Debit,NO,12370,1,707,109558,3,48295
18374895,0,2016-09-14 18:50:00,$11.60,Chip Transaction,Jacksonville,FL,5411,No Error,Mastercard,Credit,YES,12400,2,767,127951,3,40000
19158293,0,2017-02-28 18:31:00,$8.96,Swipe Transaction,Whitehouse Station,NJ,5912,No Error,Mastercard,Debit,NO,18050,2,704,6955,2,104692
12797016,0,2013-05-25 15:37:00,$52.02,Swipe Transaction,East Sparta,OH,5411,No Error,Mastercard,Debit,YES,15849,2,683,71022,4,45202
22878695,0,2019-04-27 19:17:00,$2.08,Chip Transaction,Lebanon,MO,5499,No Error,Mastercard,Debit (Prepaid),YES,47,1,508,42750,1,28472
16315738,0,2015-07-01 19:25:00,$55.88,Chip Transaction,Austin,TX,5812,No Error,Mastercard,Debit,YES,5966,1,726,59590,5,47482
10573531,0,2012-01-09 11:04:00,$301.56,Swipe Transaction,Cordele,GA,8111,No Error,Discover,Credit,YES,7600,1,734,66681,6,28269
22825301,0,2019-04-16 15:20:00,$48.51,Chip Transaction,Charlotte,NC,7538,No Error,Visa,Credit,YES,13200,2,700,65525,3,36323
9630421,0,2011-06-06 07:26:00,$22.19,Swipe Transaction,Olympia,WA,5499,No Error,Visa,Debit,YES,32075,2,583,66148,5,49023
13500732,1,2013-10-27 10:05:00,$109.88,Online Transaction,ONLINE,Unknown,5977,No Error,Mastercard,Debit (Prepaid),YES,51,2,768,107734,3,41886
14775815,0,2014-08-02 20:30:00,$68.18,Swipe Transaction,Charlotte,TN,5814,No Error,Visa,Credit,YES,8000,2,684,51751,4,35196
19638931,0,2017-06-10 14:27:00,$1.63,Chip Transaction,Richmond,CA,5499,No Error,Mastercard,Debit,YES,20573,1,717,85531,5,44583
14192804,0,2014-03-28 08:17:00,$20.40,Swipe Transaction,Naples,FL,5912,No Error,Visa,Debit,YES,27646,1,720,92603,4,35590
22404601,0,2019-01-17 13:53:00,$100.00,Chip Transaction,Gadsden,AL,5499,No Error,Mastercard,Debit (Prepaid),YES,50,2,717,113715,3,39708
10344769,0,2011-11-17 16:52:00,$6.25,Swipe Transaction,Torrance,CA,5411,No Error,Visa,Credit,YES,22400,1,704,0,7,68010
17842190,1,2016-05-24 10:50:00,$225.74,Online Transaction,ONLINE,Unknown,7801,No Error,Mastercard,Debit (Prepaid),YES,40,1,757,10019,5,30983
12041580,0,2012-12-07 23:14:00,$99.00,Swipe Transaction,El Cajon,CA,5499,No Error,Mastercard,Debit (Prepaid),YES,74,1,750,39663,3,42150
14488463,0,2014-06-01 06:49:00,$0.40,Swipe Transaction,Compton,CA,5921,No Error,Mastercard,Debit (Prepaid),YES,80,1,709,12241,4,26664
8553324,1,2010-09-24 07:36:00,$65.39,Online Transaction,ONLINE,Unknown,5311,No Error,Visa,Credit,YES,14100,1,782,27813,4,38041
13337679,0,2013-09-21 12:58:00,$25.52,Swipe Transaction,Chantilly,VA,5411,No Error,Mastercard,Debit,NO,19843,1,727,16524,8,113514
11256870,1,2012-06-13 17:11:00,$87.13,Online Transaction,ONLINE,Unknown,5300,No Error,Mastercard,Credit,YES,6100,1,712,1386,2,23718
21236780,0,2018-05-15 07:31:00,$43.40,Chip Transaction,Chula Vista,CA,5912,No Error,Visa,Credit,YES,17100,1,675,105623,4,54963
14210187,0,2014-03-31 21:33:00,$118.67,Swipe Transaction,Garland,TX,4111,No Error,Visa,Debit,YES,9827,1,687,24480,2,27691
17117035,1,2015-12-20 10:03:00,$120.97,Online Transaction,ONLINE,Unknown,7801,No Error,Visa,Debit,YES,38120,2,767,686,4,61793
18834376,0,2016-12-21 19:09:00,$28.79,Swipe Transaction,Columbus,NJ,7832,No Error,Visa,Debit,NO,18138,1,820,92489,5,47087
18487540,0,2016-10-09 04:59:00,$135.95,Chip Transaction,Eastman,GA,4900,No Error,Visa,Credit,YES,5500,2,703,46043,2,29413
16404715,0,2015-07-20 18:40:00,$90.02,Online Transaction,ONLINE,Unknown,4900,No Error,Mastercard,Debit,YES,4534,1,581,17440,3,48060
12355514,1,2013-02-16 15:07:00,$1.32,Swipe Transaction,Timnath,CO,5912,No Error,Visa,Credit,YES,15600,2,690,1807,6,60080
10736136,0,2012-02-15 10:38:00,$9.59,Swipe Transaction,Maywood,IL,5814,No Error,Mastercard,Debit,YES,12566,1,655,59730,4,31505
19858025,0,2017-07-26 17:02:00,$100.00,Chip Transaction,Lake City,FL,4829,No Error,Mastercard,Debit,YES,24772,2,740,110153,4,48277
17540956,1,2016-03-20 19:15:00,$806.33,Online Transaction,ONLINE,Unknown,4411,No Error,Mastercard,Debit,YES,4534,1,581,17440,3,48060
7843230,0,2010-04-03 23:06:00,$7.13,Swipe Transaction,Detroit,MI,5411,No Error,Visa,Credit,YES,7100,2,682,37929,2,28181
16936703,0,2015-11-11 16:50:00,$67.91,Chip Transaction,Ridgefield,WA,7230,No Error,Mastercard,Debit,YES,24090,1,750,82696,4,55682
21647991,0,2018-08-10 08:36:00,$37.25,Swipe Transaction,Christiansburg,VA,5541,No Error,Visa,Debit,YES,842,2,686,32087,5,26546
11107650,0,2012-05-11 05:43:00,$150.11,Online Transaction,ONLINE,Unknown,6300,No Error,Amex,Credit,YES,7400,2,722,81716,2,30997
7860881,0,2010-04-08 09:34:00,$2.87,Swipe Transaction,Elverson,PA,5499,No Error,Amex,Credit,YES,13300,1,766,74288,5,57658
9059839,0,2011-01-23 06:22:00,$-95.00,Swipe Transaction,Manahawkin,NJ,5499,No Error,Visa,Credit,YES,9700,1,661,8332,5,46031
20047330,0,2017-09-04 21:14:00,$39.47,Online Transaction,ONLINE,Unknown,4784,Bad Expiration,Mastercard,Debit,YES,16339,1,706,108192,2,49374
18847161,0,2016-12-24 15:55:00,$59.00,Chip Transaction,Abbeville,LA,5499,No Error,Mastercard,Debit,YES,9496,2,810,81262,1,38190
18958348,0,2017-01-17 11:14:00,$41.75,Online Transaction,ONLINE,Unknown,4784,No Error,Visa,Debit,YES,10182,2,597,106161,2,51330
13677128,0,2013-12-05 10:38:00,$92.00,Swipe Transaction,Carthage,NY,5499,No Error,Mastercard,Debit,YES,16320,1,686,24637,5,35114
19430830,0,2017-04-27 15:09:00,$105.96,Chip Transaction,Chicago,IL,5541,No Error,Amex,Credit,YES,11300,2,676,28929,2,36335
9980774,0,2011-08-26 02:59:00,$2.65,Swipe Transaction,Whites Creek,TN,5411,No Error,Mastercard,Debit,YES,24608,1,739,72801,4,42120
16049238,0,2015-05-05 18:24:00,$263.86,Online Transaction,ONLINE,Unknown,6300,No Error,Amex,Credit,YES,16000,1,737,42852,4,52186
9675401,0,2011-06-16 11:45:00,$11.19,Swipe Transaction,Commerce City,CO,5411,No Error,Visa,Debit,YES,28717,2,605,24575,3,37789
9975513,0,2011-08-24 18:02:00,$104.08,Swipe Transaction,Plymouth,MI,5300,No Error,Visa,Debit,YES,19635,2,641,74352,5,40246
19216545,0,2017-03-13 08:40:00,$44.94,Online Transaction,ONLINE,Unknown,4784,No Error,Mastercard,Debit,YES,5204,1,583,66148,5,49023
14999857,0,2014-09-20 14:17:00,$27.73,Swipe Transaction,Fair Oaks,CA,4214,No Error,Visa,Credit,YES,14700,2,680,144534,4,52904
13741914,0,2013-12-19 13:45:00,$10.01,Online Transaction,ONLINE,Unknown,4784,No Error,Mastercard,Debit,NO,13606,2,809,1644,8,19225
7794991,0,2010-03-22 19:15:00,$35.58,Swipe Transaction,Austin,TX,5812,No Error,Mastercard,Debit,YES,5966,1,726,59590,5,47482
17999570,0,2016-06-26 19:29:00,$132.03,Chip Transaction,Lake Charles,LA,5300,No Error,Mastercard,Debit,YES,12852,2,761,69070,6,54587
16463233,1,2015-08-02 11:01:00,$1.38,Chip Transaction,Harrietta,MI,5411,No Error,Mastercard,Debit,YES,18684,2,712,78833,3,41442
23479495,0,2019-09-01 20:22:00,$21.67,Chip Transaction,Mcalester,OK,5541,No Error,Mastercard,Debit,YES,7597,1,757,10019,5,30983
10940148,0,2012-04-02 19:59:00,$39.48,Swipe Transaction,Arcadia,CA,7802,No Error,Visa,Credit,YES,8500,1,732,54455,3,35016
9442739,0,2011-04-23 06:00:00,$11.96,Swipe Transaction,Chicago,IL,5411,No Error,Visa,Debit,YES,20245,2,657,68494,5,45462
9537594,0,2011-05-15 10:55:00,$37.44,Swipe Transaction,Albuquerque,NM,7538,No Error,Mastercard,Debit,YES,9454,1,696,1797,5,16611
23230568,0,2019-07-11 12:18:00,$3.99,Chip Transaction,Ewa Beach,HI,5411,No Error,Visa,Debit,YES,9956,2,725,472,5,42306
22512859,0,2019-02-09 12:36:00,$20.21,Swipe Transaction,Carrollton,TX,5411,Insufficient Balance,Mastercard,Debit,NO,17599,1,757,15891,4,43598
23227268,0,2019-07-10 17:46:00,$32.46,Swipe Transaction,Reston,VA,4900,No Error,Mastercard,Debit,NO,27117,1,581,17440,3,48060
11774306,0,2012-10-08 14:23:00,$89.80,Swipe Transaction,Mount Carmel,IL,5912,No Error,Mastercard,Credit,YES,10600,1,753,0,4,32576
8858088,1,2010-12-06 10:43:00,$45.70,Online Transaction,ONLINE,Unknown,5311,No Error,Visa,Debit,YES,8400,1,850,74820,6,38386
19074593,0,2017-02-10 23:53:00,$-80.00,Chip Transaction,Hubbard,OH,5499,No Error,Discover,Credit,YES,14600,2,665,66403,1,37415
21384458,1,2018-06-15 12:53:00,$82.93,Chip Transaction,Rome,Italy,5311,No Error,Mastercard,Debit,YES,34684,2,610,2027,5,80493
14099795,0,2014-03-07 16:42:00,$6.50,Swipe Transaction,Morrisville,NC,5310,No Error,Mastercard,Debit (Prepaid),YES,62,2,727,37163,5,75682
